Time,Latitude,Longitude,Heading,WindSpeed,WindDirection,RudderAngle,SailAngle
00:00:00,0.000000,0.000000,0.00,0.00,0,0,0
00:00:00,0.000000,0.000000,1.70,0.00,118,90,90
18:23:04,0.000000,0.000000,1.70,0.00,197,90,90
18:23:05,0.000000,0.000000,1.70,0.00,91,90,90
18:23:06,0.000000,0.000000,1.70,0.00,125,90,90
18:23:07,0.000000,0.000000,1.70,0.00,176,90,90
18:23:09,0.000000,0.000000,1.70,0.00,76,90,90
18:23:10,0.000000,0.000000,1.70,0.00,163,90,90
18:23:11,0.000000,0.000000,1.70,0.00,168,90,90
18:23:12,0.000000,0.000000,1.70,0.00,78,90,90
18:23:14,0.000000,0.000000,1.70,0.00,62,90,90
18:23:15,0.000000,0.000000,1.70,0.00,166,90,90
18:23:16,0.000000,0.000000,1.70,0.00,166,90,90
18:23:17,0.000000,0.000000,1.70,0.00,73,90,90
18:23:19,0.000000,0.000000,1.70,0.00,99,90,90
18:23:20,0.000000,0.000000,1.70,0.00,167,90,90
18:23:21,0.000000,0.000000,1.70,0.00,93,90,90
18:23:22,0.000000,0.000000,1.70,0.00,69,90,90
18:23:24,0.000000,0.000000,1.70,0.00,161,90,90
18:23:25,0.000000,0.000000,1.70,0.00,146,90,90
18:23:26,0.000000,0.000000,1.70,0.00,88,90,90
18:23:27,0.000000,0.000000,1.70,0.00,67,90,90
18:23:29,0.000000,0.000000,1.70,0.00,161,90,90
18:23:30,0.000000,0.000000,1.70,0.00,149,90,90
18:23:31,0.000000,0.000000,1.70,0.00,70,90,90
18:23:32,0.000000,0.000000,1.70,0.00,127,90,90
18:23:34,0.000000,0.000000,1.70,0.00,163,90,90
18:23:35,0.000000,0.000000,1.70,0.00,73,90,90
18:23:36,0.000000,0.000000,1.70,0.00,105,90,90
18:23:38,0.000000,0.000000,1.70,0.00,164,90,90
18:23:39,0.000000,0.000000,1.70,0.00,75,90,90
18:23:40,0.000000,0.000000,1.70,0.00,67,90,90
18:23:49,0.000000,0.000000,1.70,0.00,158,90,90
18:23:50,0.000000,0.000000,1.70,0.00,97,90,90
18:23:51,0.000000,0.000000,1.70,0.00,178,90,90
18:23:52,0.000000,0.000000,1.70,0.00,85,90,90
18:23:54,0.000000,0.000000,1.70,0.00,84,90,90
18:23:55,0.000000,0.000000,1.70,0.00,175,90,90
18:23:56,0.000000,0.000000,1.70,0.00,99,90,90
18:23:57,0.000000,0.000000,1.70,0.00,69,90,90
18:23:59,0.000000,0.000000,1.70,0.00,169,90,90
18:24:00,0.000000,0.000000,1.70,0.00,123,90,90
18:24:01,0.000000,0.000000,1.70,0.00,68,90,90
18:24:02,0.000000,0.000000,1.70,0.00,161,90,90
18:24:04,0.000000,0.000000,1.70,0.00,165,90,90
18:24:05,0.000000,0.000000,1.70,0.00,66,90,90
18:24:06,0.000000,0.000000,1.70,0.00,161,90,90
18:24:07,0.000000,0.000000,1.70,0.00,166,90,90
18:24:09,0.000000,0.000000,1.70,0.00,66,90,90
18:24:10,0.000000,0.000000,1.70,0.00,159,90,90
18:24:11,0.000000,0.000000,1.70,0.00,170,90,90
18:24:12,0.000000,0.000000,1.70,0.00,73,90,90
18:24:14,0.000000,0.000000,1.70,0.00,103,90,90
18:24:15,0.000000,0.000000,1.70,0.00,160,90,90
18:24:16,0.000000,0.000000,1.70,0.00,170,90,90
18:24:17,0.000000,0.000000,1.70,0.00,73,90,90
18:24:19,0.000000,0.000000,1.70,0.00,76,90,90
18:24:20,0.000000,0.000000,1.70,0.00,172,90,90
18:24:21,0.000000,0.000000,1.70,0.00,84,90,90
18:24:22,0.000000,0.000000,1.70,0.00,66,90,90
18:24:24,0.000000,0.000000,1.70,0.00,169,90,90
18:24:25,0.000000,0.000000,1.70,0.00,121,90,90
18:24:26,0.000000,0.000000,1.70,0.00,64,90,90
18:24:27,0.000000,0.000000,1.70,0.00,160,90,90
18:24:29,0.000000,0.000000,1.70,0.00,169,90,90
18:24:30,0.000000,0.000000,1.70,0.00,87,90,90
18:24:31,0.000000,0.000000,1.70,0.00,65,90,90
18:24:32,0.000000,0.000000,1.70,0.00,164,90,90
18:24:34,0.000000,0.000000,1.70,0.00,165,90,90
18:24:35,0.000000,0.000000,1.70,0.00,71,90,90
18:24:36,0.000000,0.000000,1.70,0.00,98,90,90
18:24:37,0.000000,0.000000,1.70,0.00,174,90,90
18:24:39,0.000000,0.000000,1.70,0.00,91,90,90
18:24:40,0.000000,0.000000,1.70,0.00,67,90,90
18:24:41,0.000000,0.000000,1.70,0.00,126,90,90
18:24:42,0.000000,0.000000,1.70,0.00,168,90,90
18:24:44,0.000000,0.000000,1.70,0.00,97,90,90
18:24:45,0.000000,0.000000,1.70,0.00,71,90,90
18:24:46,0.000000,0.000000,1.70,0.00,164,90,90
18:24:47,0.000000,0.000000,1.70,0.00,123,90,90
18:24:49,0.000000,0.000000,1.70,0.00,65,90,90
18:24:50,0.000000,0.000000,1.70,0.00,161,90,90
18:24:51,0.000000,0.000000,1.70,0.00,142,90,90
18:24:52,0.000000,0.000000,1.70,0.00,66,90,90
18:24:54,0.000000,0.000000,1.70,0.00,158,90,90
18:24:55,0.000000,0.000000,1.70,0.00,166,90,90
18:24:56,0.000000,0.000000,1.70,0.00,73,90,90
18:24:57,0.000000,0.000000,1.70,0.00,119,90,90
18:24:59,0.000000,0.000000,1.70,0.00,166,90,90
18:25:00,0.000000,0.000000,1.70,0.00,71,90,90
18:25:01,0.000000,0.000000,1.70,0.00,130,90,90
18:25:02,0.000000,0.000000,1.70,0.00,151,90,90
18:25:04,0.000000,0.000000,1.70,0.00,65,90,90
18:25:05,0.000000,0.000000,1.70,0.00,162,90,90
18:25:06,0.000000,0.000000,1.70,0.00,103,90,90
18:25:07,0.000000,0.000000,1.70,0.00,68,90,90
18:25:09,0.000000,0.000000,1.70,0.00,158,90,90
