Temps: 315746.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -51.30 °, Vent: 309.61 °, 2.24 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 315827.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -51.50 °, Vent: 309.61 °, 2.24 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 315928.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -52.60 °, Vent: 309.61 °, 2.24 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 316009.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -54.80 °, Vent: 309.61 °, 2.24 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 316089.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -58.30 °, Vent: 309.61 °, 2.24 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 316224.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -62.60 °, Vent: 309.61 °, 2.24 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 316332.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -72.50 °, Vent: 309.61 °, 2.24 m/s, Rudder: 29 °, Sail: 0 °, Control: AUTO
Temps: 316412.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.70 °, Vent: 309.61 °, 2.24 m/s, Rudder: 10 °, Sail: 0 °, Control: AUTO
Temps: 316493.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -82.90 °, Vent: 309.61 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 316594.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -88.70 °, Vent: 309.61 °, 2.24 m/s, Rudder: -10 °, Sail: 0 °, Control: AUTO
Temps: 316675.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -91.80 °, Vent: 309.61 °, 2.24 m/s, Rudder: -22 °, Sail: 0 °, Control: AUTO
Temps: 316802.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -93.60 °, Vent: 309.61 °, 2.24 m/s, Rudder: -28 °, Sail: 0 °, Control: AUTO
Temps: 316917.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -92.30 °, Vent: 309.61 °, 2.24 m/s, Rudder: -30 °, Sail: 0 °, Control: AUTO
Temps: 317018.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -89.20 °, Vent: 309.61 °, 2.24 m/s, Rudder: -29 °, Sail: 0 °, Control: AUTO
Temps: 317099.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -85.60 °, Vent: 309.61 °, 2.24 m/s, Rudder: -23 °, Sail: 0 °, Control: AUTO
Temps: 317179.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -82.70 °, Vent: 309.61 °, 2.24 m/s, Rudder: -16 °, Sail: 0 °, Control: AUTO
Temps: 317280.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.80 °, Vent: 309.61 °, 2.24 m/s, Rudder: -10 °, Sail: 0 °, Control: AUTO
Temps: 317407.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -74.80 °, Vent: 309.61 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 317502.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.50 °, Vent: 309.61 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 317583.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -70.70 °, Vent: 309.61 °, 2.24 m/s, Rudder: 12 °, Sail: 0 °, Control: AUTO
Temps: 317684.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -70.20 °, Vent: 309.61 °, 2.24 m/s, Rudder: 13 °, Sail: 0 °, Control: AUTO
Temps: 317764.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -70.30 °, Vent: 317.55 °, 3.13 m/s, Rudder: 14 °, Sail: 0 °, Control: AUTO
Temps: 317845.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -70.70 °, Vent: 317.55 °, 3.13 m/s, Rudder: 14 °, Sail: 0 °, Control: AUTO
Temps: 317972.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.60 °, Vent: 317.55 °, 3.13 m/s, Rudder: 13 °, Sail: 0 °, Control: AUTO
Temps: 318067.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -74.40 °, Vent: 317.55 °, 3.13 m/s, Rudder: 11 °, Sail: 0 °, Control: AUTO
Temps: 318148.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -75.90 °, Vent: 317.55 °, 3.13 m/s, Rudder: 6 °, Sail: 0 °, Control: AUTO
Temps: 318229.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.60 °, Vent: 317.55 °, 3.13 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 318329.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -79.40 °, Vent: 317.55 °, 3.13 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 318410.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -80.60 °, Vent: 317.55 °, 3.13 m/s, Rudder: -3 °, Sail: 0 °, Control: AUTO
Temps: 318530.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -81.60 °, Vent: 317.55 °, 3.13 m/s, Rudder: -6 °, Sail: 0 °, Control: AUTO
Temps: 318625.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -82.30 °, Vent: 317.55 °, 3.13 m/s, Rudder: -8 °, Sail: 0 °, Control: AUTO
Temps: 318727.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -82.20 °, Vent: 317.55 °, 3.13 m/s, Rudder: -9 °, Sail: 0 °, Control: AUTO
Temps: 318807.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -81.80 °, Vent: 317.55 °, 3.13 m/s, Rudder: -9 °, Sail: 0 °, Control: AUTO
Temps: 318887.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -80.90 °, Vent: 317.55 °, 3.13 m/s, Rudder: -8 °, Sail: 0 °, Control: AUTO
Temps: 318989.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -79.30 °, Vent: 317.55 °, 3.13 m/s, Rudder: -6 °, Sail: 0 °, Control: AUTO
Temps: 319115.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.90 °, Vent: 317.55 °, 3.13 m/s, Rudder: -3 °, Sail: 0 °, Control: AUTO
Temps: 319230.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -75.00 °, Vent: 317.55 °, 3.13 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 319311.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -73.50 °, Vent: 317.55 °, 3.13 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 319413.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -72.00 °, Vent: 317.55 °, 3.13 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
Temps: 319494.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.40 °, Vent: 317.55 °, 3.13 m/s, Rudder: 11 °, Sail: 0 °, Control: AUTO
Temps: 319594.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.90 °, Vent: 317.55 °, 3.13 m/s, Rudder: 12 °, Sail: 0 °, Control: AUTO
Temps: 319721.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -73.10 °, Vent: 317.55 °, 3.13 m/s, Rudder: 11 °, Sail: 0 °, Control: AUTO
Temps: 319835.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -75.60 °, Vent: 317.55 °, 3.13 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
